text,intent,response
Сколько по времени это займет?,сроки,Сроки зависят от объема сцены.
Когда будет готов дизайн проект?,сроки,Сроки зависят от объема сцены.
Когда ожидать результат презентации?,сроки,Сроки зависят от объема сцены.
Когда ожидать финальный результат?,сроки,Сроки зависят от объема сцены.
Когда ожидать сдачу проекта? ,сроки,Сроки зависят от объема сцены.
Как скоро ожидать результат?,сроки,Сроки зависят от объема сцены.
Как быстро можете сделать? ,сроки,Сроки зависят от объема сцены.
Когда ждать результат? ,сроки,Сроки зависят от объема сцены.
Сколько времени вам нужно? ,сроки,Сроки зависят от объема сцены.
Сколько по времени выйдет?,сроки,Сроки зависят от объема сцены.
Насколько быстро сделаете? ,сроки,Сроки зависят от объема сцены.
Насколько быстро можете сделать?,сроки,Сроки зависят от объема сцены.
Какие сроки выполнения задания?,сроки,Сроки зависят от объема сцены.
Когда будет итог?,сроки,Сроки зависят от объема сцены.
Когда ожидать рендер?,сроки,Сроки зависят от объема сцены.
Как быстро сделаете визуализацию? ,сроки,Сроки зависят от объема сцены.
Когда будет все готово?,сроки,Сроки зависят от объема сцены.
Когда будет готов дизайн? ,сроки,Сроки зависят от объема сцены.
Когда будет готов редер?,сроки,Сроки зависят от объема сцены.
Как можно быстрее сможете?,сроки,Сроки зависят от объема сцены.
Сколько по времени займет 3д моделирование? ,сроки,Сроки зависят от объема сцены.
Когда будет готово моделирование?,сроки,Сроки зависят от объема сцены.
Сколько по времени уйдет?,сроки,Сроки зависят от объема сцены.
Как быстро сделаете работу?,сроки,Сроки зависят от объема сцены.
Быстро можете сделать?,сроки,Сроки зависят от объема сцены.
Результат нужен как можно быстрее,сроки,Сроки зависят от объема сцены.
Ожидаю как можно быстрее,сроки,Сроки зависят от объема сцены.
Как быстро сделаете? Нужно срочно,сроки,Сроки зависят от объема сцены.
Какие сроки выполнения проекта? ,сроки,Сроки зависят от объема сцены.
Какие сроки завершения? ,сроки,Сроки зависят от объема сцены.
Какие сроки по выполнению работы? ,сроки,Сроки зависят от объема сцены.
Сколько по времени займет выполнение задания?,сроки,Сроки зависят от объема сцены.
Подскажите финальные сроки выполнения? ,сроки,Сроки зависят от объема сцены.
Какие минимальные сроки выполнения?,сроки,Сроки зависят от объема сцены.
Когда целиком будет готово? ,сроки,Сроки зависят от объема сцены.
Как быстро сделаете наш проект? ,сроки,Сроки зависят от объема сцены.
Когда будет итог визуализации?,сроки,Сроки зависят от объема сцены.
Сделайте быстрее,сроки,Сроки зависят от объема сцены.
"Результат нужен срочно, когда ждать?",сроки,Сроки зависят от объема сцены.
Пришлю референсы по стилю ,материалы,"Хорошо, присылайте материалы."
Я отправлю вам план,материалы,"Хорошо, присылайте материалы."
У меня есть DWG файл,материалы,"Хорошо, присылайте материалы."
Есть референсы,материалы,"Хорошо, присылайте материалы."
Скину материалы позже,материалы,"Хорошо, присылайте материалы."
"У меня есть фото,пойдет?",материалы,"Хорошо, присылайте материалы."
Скину материалы по текстуре,материалы,"Хорошо, присылайте материалы."
Скину позже что мы хотим видеть,материалы,"Хорошо, присылайте материалы."
"Я отправлю вам фото, что мы ожидаем",материалы,"Хорошо, присылайте материалы."
У меня есть ген план,материалы,"Хорошо, присылайте материалы."
Я отправлю вам план как можно быстрее,материалы,"Хорошо, присылайте материалы."
Скину нужные нам материалы ,материалы,"Хорошо, присылайте материалы."
У меня есть ссылка на примеры работ,материалы,"Хорошо, присылайте материалы."
Пришлю все материалы ,материалы,"Хорошо, присылайте материалы."
У меня есть файлы с текстурой ткани,материалы,"Хорошо, присылайте материалы."
У меня есть фото дерева,материалы,"Хорошо, присылайте материалы."
Передаю чертежи ,материалы,"Хорошо, присылайте материалы."
Я отправлю вам чертежи пдф,материалы,"Хорошо, присылайте материалы."
Передаю чертежи pdf,материалы,"Хорошо, присылайте материалы."
Я отправлю вам план расстановки мебели,материалы,"Хорошо, присылайте материалы."
У меня есть файл раскладки розеток,материалы,"Хорошо, присылайте материалы."
У меня есть чертеж с разметками по высоте,материалы,"Хорошо, присылайте материалы."
Передаю чертежи бассейна,материалы,"Хорошо, присылайте материалы."
Вот чертежи,материалы,"Хорошо, присылайте материалы."
Я отправлю вам план с размерами,материалы,"Хорошо, присылайте материалы."
Я отправлю вам ген план как можно быстрее,материалы,"Хорошо, присылайте материалы."
Вот фото по стилю,материалы,"Хорошо, присылайте материалы."
Я отправлю вам план после согласования,материалы,"Хорошо, присылайте материалы."
Скину материалы позже ок?,материалы,"Хорошо, присылайте материалы."
"Вот референсы по стилю напишите, если нужно еще",материалы,"Хорошо, присылайте материалы."
Вот премерное видение итога,материалы,"Хорошо, присылайте материалы."
Сейчас скину файлы,материалы,"Хорошо, присылайте материалы."
Направляю вам все материалы,материалы,"Хорошо, присылайте материалы."
Вот фото по стилистике,материалы,"Хорошо, присылайте материалы."
Это ссылка на референсы,материалы,"Хорошо, присылайте материалы."
Я отправлю вам план проект после редактирования,материалы,"Хорошо, присылайте материалы."
Сейчас скину все материалы ,материалы,"Хорошо, присылайте материалы."
Пришлю файлы чуть позже,материалы,"Хорошо, присылайте материалы."
Вот такие материалы мы хотим,материалы,"Хорошо, присылайте материалы."
Материалы пришлю завтра,материалы,"Хорошо, присылайте материалы."
Передаю чертежи,материалы,"Хорошо, присылайте материалы."
Сейчас пришлю что есть,материалы,"Хорошо, присылайте материалы."
У меня есть ссылка не нужную нам мебель,материалы,"Хорошо, присылайте материалы."
Позже скину ссылку на светильники,материалы,"Хорошо, присылайте материалы."
Пришлю материалы как можно быстрее,материалы,"Хорошо, присылайте материалы."
Сделай светлее ,правки,"Хорошо, внесу правки."
Сделай чуть светлее ,правки,"Хорошо, внесу правки."
Передвинь диван пожалуйста,правки,"Хорошо, внесу правки."
Убери лишние детали ,правки,"Хорошо, внесу правки."
Измени цвет стен,правки,"Хорошо, внесу правки."
Передвинь диван как на рисунке,правки,"Хорошо, внесу правки."
"Передвинь зеркало, там розетки",правки,"Хорошо, внесу правки."
Поменяй материал ткани,правки,"Хорошо, внесу правки."
Сделай дерево чуть в красноту,правки,"Хорошо, внесу правки."
"Измени цвет плитки, фото скинул",правки,"Хорошо, внесу правки."
Поменяй на такую модель,правки,"Хорошо, внесу правки."
Тканевая фактура не та,правки,"Хорошо, внесу правки."
Прикроватную тумбу замени на такую,правки,"Хорошо, внесу правки."
Шторы из ванной убираем,правки,"Хорошо, внесу правки."
Жалюзи черного цвета,правки,"Хорошо, внесу правки."
Справа от зеркала сделай крючки для полотенец,правки,"Хорошо, внесу правки."
Окна цвета графит,правки,"Хорошо, внесу правки."
Добавь светильники,правки,"Хорошо, внесу правки."
Перегородку сделай больше,правки,"Хорошо, внесу правки."
Трековые светильники другие,правки,"Хорошо, внесу правки."
Напольный смеситель перенеси в центр ванной,правки,"Хорошо, внесу правки."
Попрошу переделать,правки,"Хорошо, внесу правки."
В чистовом совсем не та фактура,правки,"Хорошо, внесу правки."
Просто цвет поменяй,правки,"Хорошо, внесу правки."
Решетку кондея перенеси,правки,"Хорошо, внесу правки."
Повесь картину,правки,"Хорошо, внесу правки."
Повесь светильники,правки,"Хорошо, внесу правки."
Повесь ловец снов,правки,"Хорошо, внесу правки."
Меняй только душевую,правки,"Хорошо, внесу правки."
Ставь вот такой диван,правки,"Хорошо, внесу правки."
Не вижу зеркала,правки,"Хорошо, внесу правки."
Ставь такой мрамор,правки,"Хорошо, внесу правки."
Поставь человека для понимания размера,правки,"Хорошо, внесу правки."
Столб убрать,правки,"Хорошо, внесу правки."
Забор убрать,правки,"Хорошо, внесу правки."
Столешницу сделай светлой,правки,"Хорошо, внесу правки."
Ручки делаем врезными,правки,"Хорошо, внесу правки."
Цвет стульев неверный,правки,"Хорошо, внесу правки."
Стол иначе стоит,правки,"Хорошо, внесу правки."
В тв зоне черная тумба,правки,"Хорошо, внесу правки."
Ставь такой материал,правки,"Хорошо, внесу правки."
Убирай,правки,"Хорошо, внесу правки."
Поменяй местами,правки,"Хорошо, внесу правки."
Отправил правки,правки,"Хорошо, внесу правки."
"Посмотри, у нас изменения в чертежах",правки,"Хорошо, внесу правки."
Делай чистовые,рендеры,Подготовлю рендеры.
Делайте чистовые рендеры,рендеры,Подготовлю рендеры.
Давай финальный рендер,рендеры,Подготовлю рендеры.
Жду рендер,рендеры,Подготовлю рендеры.
Жду визуализацию,рендеры,Подготовлю рендеры.
Добавь пару ракурсов и в рендер,рендеры,Подготовлю рендеры.
Сделай черновой рендер,рендеры,Подготовлю рендеры.
Сделайте превью этих ракурсов,рендеры,Подготовлю рендеры.
Дай фронтальный ракурс,рендеры,Подготовлю рендеры.
Запускай чистовой,рендеры,Подготовлю рендеры.
Нужны финальные изображения,рендеры,Подготовлю рендеры.
"Остальное ок, давайте визуализацию",рендеры,Подготовлю рендеры.
Сделай черновики,рендеры,Подготовлю рендеры.
Сделай несколько ракурсов,рендеры,Подготовлю рендеры.
Покажи рендеры,рендеры,Подготовлю рендеры.
Сделай несколько ракурсов пожалуйста,рендеры,Подготовлю рендеры.
Делай чистовые рендеры этих ракурсов,рендеры,Подготовлю рендеры.
Запускай в работу,рендеры,Подготовлю рендеры.
Нужны финальные рендеры,рендеры,Подготовлю рендеры.
Сделай рендер,рендеры,Подготовлю рендеры.
Дай другой ракурс посмотреть как вышло,рендеры,Подготовлю рендеры.
Прошлые черновики ставь в чистовой,рендеры,Подготовлю рендеры.
Сделай несколько рендеров,рендеры,Подготовлю рендеры.
Давай чистовые такие же ракурсы,рендеры,Подготовлю рендеры.
Запускай,рендеры,Подготовлю рендеры.
Присылайте визуализацию ,рендеры,Подготовлю рендеры.
Делай все ракурсы,рендеры,Подготовлю рендеры.
Давайте по 3 ракурса,рендеры,Подготовлю рендеры.
Покажи со всех сторон,рендеры,Подготовлю рендеры.
Надо сделать рендеры,рендеры,Подготовлю рендеры.
Надо показать улицу,рендеры,Подготовлю рендеры.
Дай рендер,рендеры,Подготовлю рендеры.
Чуть приблизь ракурс,рендеры,Подготовлю рендеры.
Сделай качественный рендер,рендеры,Подготовлю рендеры.
Камеру еще чуть ближе и покажите,рендеры,Подготовлю рендеры.
Сделать рендер с противоположной стороны,рендеры,Подготовлю рендеры.
Давайте делать рендеры,рендеры,Подготовлю рендеры.
Сделайте визуализацию этих ракурсов,рендеры,Подготовлю рендеры.
Можем переходить к рендерам,рендеры,Подготовлю рендеры.
Готовьте рендеры,рендеры,Подготовлю рендеры.
Давайте делать визуализацию,рендеры,Подготовлю рендеры.
Начинаем делать рендеры,рендеры,Подготовлю рендеры.
Покажите эти ракурсы,рендеры,Подготовлю рендеры.
Готовьте финальный рендер,рендеры,Подготовлю рендеры.
Покажите в черновом варианте,рендеры,Подготовлю рендеры.
Скажи габариты стола,технический_вопрос,Уточню и сообщу.
Скажи габариты дивана,технический_вопрос,Уточню и сообщу.
Какой размер зеркала?,технический_вопрос,Уточню и сообщу.
Ты читаешь DWG? ,технический_вопрос,Уточню и сообщу.
Какое расстояние до камеры?,технический_вопрос,Уточню и сообщу.
Какой угол линзы?,технический_вопрос,Уточню и сообщу.
Какого числа?,технический_вопрос,Уточню и сообщу.
Эта сцена есть?,технический_вопрос,Уточню и сообщу.
Размеры знаешь?,технический_вопрос,Уточню и сообщу.
Какой размер был до этого?,технический_вопрос,Уточню и сообщу.
Ты делала эти рендеры?,технический_вопрос,Уточню и сообщу.
Ты делала эту виллу?,технический_вопрос,Уточню и сообщу.
Можешь дать габариты?,технический_вопрос,Уточню и сообщу.
Можете посчитать расстояние?,технический_вопрос,Уточню и сообщу.
Какой там размер сейчас?,технический_вопрос,Уточню и сообщу.
Как успехи?,технический_вопрос,Уточню и сообщу.
Получается сделать?,технический_вопрос,Уточню и сообщу.
Что еще есть в ассортименте?,технический_вопрос,Уточню и сообщу.
"Проверь,там места хватает?",технический_вопрос,Уточню и сообщу.
Можем сделать облет камеры?,технический_вопрос,Уточню и сообщу.
Какая высота?,технический_вопрос,Уточню и сообщу.
Долго переделывать?,технический_вопрос,Уточню и сообщу.
Какая высота забора?,технический_вопрос,Уточню и сообщу.
Сможешь сделать?,технический_вопрос,Уточню и сообщу.
Сможете так сделать?,технический_вопрос,Уточню и сообщу.
Сможешь исправить?,технический_вопрос,Уточню и сообщу.
Мы этот ракурс делали?,технический_вопрос,Уточню и сообщу.
Это вообще что?,технический_вопрос,Уточню и сообщу.
Это есть в плане?,технический_вопрос,Уточню и сообщу.
Можно сделать меньше размер?,технический_вопрос,Уточню и сообщу.
Какое тут качество?,технический_вопрос,Уточню и сообщу.
Какое тут разрешение?,технический_вопрос,Уточню и сообщу.
Мы это делали?,технический_вопрос,Уточню и сообщу.
Можете проверить габариты?,технический_вопрос,Уточню и сообщу.
Расчеты верные?,технический_вопрос,Уточню и сообщу.
Совпадает с чертежами?,технический_вопрос,Уточню и сообщу.
Можешь посчитать длину?,технический_вопрос,Уточню и сообщу.
Есть новости?,технический_вопрос,Уточню и сообщу.
Попробуешь сделать?,технический_вопрос,Уточню и сообщу.
Можете сделать больше размер?,технический_вопрос,Уточню и сообщу.
"Сколько там, можете сказать?",технический_вопрос,Уточню и сообщу.
Они поместятся?,технический_вопрос,Уточню и сообщу.
Размерность есть у вас?,технический_вопрос,Уточню и сообщу.
Есть прогноз?,технический_вопрос,Уточню и сообщу.
Места хватит?,технический_вопрос,Уточню и сообщу.
Благодарю ,благодарность,Пожалуйста!
"Все отлично, спасибо",благодарность,Пожалуйста!
"О, спасибо!",благодарность,Пожалуйста!
"Очень помогли, спасибо",благодарность,Пожалуйста!
Спасибо! ,благодарность,Пожалуйста!
"Все супер, спасибо",благодарность,Пожалуйста!
"Супер, спасибо",благодарность,Пожалуйста!
"Превосходно, спасибо!",благодарность,Пожалуйста!
Спасибо большое!,благодарность,Пожалуйста!
"Благодарю, очень нравится!",благодарность,Пожалуйста!
"Вы очень выручили, спасибо!",благодарность,Пожалуйста!
Отлично! Спасибо!,благодарность,Пожалуйста!
"Все отлично, спасибо за оперативность!",благодарность,Пожалуйста!
"Очень рад, спасибо",благодарность,Пожалуйста!
Спасибо за сотрудничество!,благодарность,Пожалуйста!
Спасибо за срочность!,благодарность,Пожалуйста!
Спасибо ,благодарность,Пожалуйста!
"Все хорошо, спасибо",благодарность,Пожалуйста!
Все супер,благодарность,Пожалуйста!
"Идеально, спасибо",благодарность,Пожалуйста!
"То что надо, спасибо",благодарность,Пожалуйста!
Извините и спасибо за работу!,благодарность,Пожалуйста!
"Принято, спасибо",благодарность,Пожалуйста!
"Спасибо, договорились",благодарность,Пожалуйста!
"Очень рад, спасибо!",благодарность,Пожалуйста!
Спасибо за ответ,благодарность,Пожалуйста!
"Спасибо большое, жду",благодарность,Пожалуйста!
Спасибо все ок,благодарность,Пожалуйста!
"Ок, спасибо",благодарность,Пожалуйста!
"Хорошо, благодарю",благодарность,Пожалуйста!
"Все нравится, спасибо вам",благодарность,Пожалуйста!
Спасибо за качественную работу,благодарность,Пожалуйста!
"Мы успели, спасибо",благодарность,Пожалуйста!
Спасибо за работу!,благодарность,Пожалуйста!
Огромное спасибо!,благодарность,Пожалуйста!
"Отличный вариант,спасибо!",благодарность,Пожалуйста!
